arm,attempt_index,center,clipped,depth,eta,mode,o,qualified,raw,rep,scene,selected,stage,tau,valid,worst_res
menu_feedback,0,0.10000000000000001,0.78717257903343552,1,0.5,3,0,1,0.79504430482376975,0,dubrovnik-88,0,collapse-diagnostic,0.10000000000000001,1,0.32139868052715581
menu_feedback,1,0.00025000000000000001,0.19311701655961871,8,0.14219326589201461,3,1,1,0.19311701655961871,0,dubrovnik-88,3,collapse-diagnostic,0.00025000000000000001,1,0.12908466254647788
menu_feedback,2,0.00025000000000000001,0.87182435101269917,85,0.031222763664569698,3,2,1,0.87182435101269917,0,dubrovnik-88,0,collapse-diagnostic,0.00025000000000000001,1,0.030683392762385121
menu_feedback,3,6.2500000000000005e-07,0.18501411530531733,128,0.033875746728971208,3,3,0,0.18501411530531733,0,dubrovnik-88,-1,collapse-diagnostic,6.2500000000000005e-07,1,0.10469131119223075
menu_feedback,4,1.0000000000000001e-05,0.00091590995858161352,2,0.5,3,3,1,0.00091590995858161352,0,dubrovnik-88,0,collapse-diagnostic,1.0000000000000001e-05,1,0.37896676212706548
menu_feedback,5,1.0000000000000002e-08,0.00056439534449195306,128,0.2493336125532645,3,4,0,0.0037424395754477508,0,dubrovnik-88,0,collapse-diagnostic,1.0000000000000002e-08,1,0.28175550204605887
menu_feedback,6,1.0000000000000002e-10,4.1523975658235148e-07,11,0.5,3,5,1,4.1523975658235148e-07,0,dubrovnik-88,0,collapse-diagnostic,1.0000000000000002e-10,1,0.49650678924148473
menu_feedback,0,0.10000000000000001,0.78717257903343552,1,0.5,3,0,1,0.79504430482376987,1,dubrovnik-88,0,collapse-diagnostic,0.10000000000000001,1,0.3213986805271557
menu_feedback,1,0.00025000000000000001,0.19311701655961722,8,0.14219326589201442,3,1,1,0.19311701655961722,1,dubrovnik-88,3,collapse-diagnostic,0.00025000000000000001,1,0.12908466254647799
menu_feedback,2,0.00025000000000000001,0.89706407509752295,101,0.031222763664570847,3,2,1,0.89706407509752295,1,dubrovnik-88,1,collapse-diagnostic,0.00025000000000000001,1,0.029685081542717293
menu_feedback,3,6.2500000000000003e-06,0.68512542727231363,128,0.029367719401885418,3,3,0,0.68512542727231363,1,dubrovnik-88,4,collapse-diagnostic,6.2500000000000003e-06,1,0.12285433135651541
menu_feedback,4,6.2500000000000001e-05,0.96729039549684226,128,0.030296785940094415,3,4,0,0.96729039549684226,1,dubrovnik-88,2,collapse-diagnostic,6.2500000000000001e-05,1,1.0154042371295908
menu_feedback,0,0.10000000000000001,0.7871725790334354,1,0.5,3,0,1,0.79504430482376975,2,dubrovnik-88,1,collapse-diagnostic,0.10000000000000001,1,0.32139868052715576
menu_feedback,1,0.0025000000000000005,0.67204902520001186,8,0.14595271532925466,3,1,1,0.67204902520001186,2,dubrovnik-88,2,collapse-diagnostic,0.0025000000000000005,1,0.12843921680249476
menu_feedback,2,0.00025000000000000006,0.86200355981015664,75,0.035485305762280123,3,2,1,0.86200355981015664,2,dubrovnik-88,1,collapse-diagnostic,0.00025000000000000006,1,0.035277833083978916
menu_feedback,3,6.250000000000002e-06,0.65563963355669563,122,0.071871577517193169,3,3,1,0.65563963355669563,2,dubrovnik-88,4,collapse-diagnostic,6.250000000000002e-06,1,0.070732200715258597
menu_feedback,4,6.2500000000000028e-05,0.96424033808183285,128,0.013179360907325782,3,4,0,0.96424033808183285,2,dubrovnik-88,2,collapse-diagnostic,6.2500000000000028e-05,1,1.0328047188466798
menu_feedback,0,0.10000000000000001,0.92064167453796286,2,0.5,3,0,1,0.93047469416437556,0,ladybug-49,2,collapse-diagnostic,0.10000000000000001,1,0.4210260222345511
menu_feedback,1,0.025000000000000001,0.97735352090308381,15,0.12184083181747196,3,1,1,0.97735352090308381,0,ladybug-49,0,collapse-diagnostic,0.025000000000000001,1,0.11821982384164011
menu_feedback,2,6.2500000000000001e-05,0.17702308682745024,11,0.30964659982268566,3,2,1,0.17702308682745024,0,ladybug-49,4,collapse-diagnostic,6.2500000000000001e-05,1,0.26434488436749276
menu_feedback,3,0.00062500000000000012,0.85838742579365357,15,0.34523713546411272,3,3,1,0.85838742579365357,0,ladybug-49,0,collapse-diagnostic,0.00062500000000000012,1,0.33241916727185933
menu_feedback,4,6.2500000000000016e-07,0.00042834261462734686,4,0.5,3,4,1,0.00042834261462734686,0,ladybug-49,0,collapse-diagnostic,6.2500000000000016e-07,1,0.49048269296655278
menu_feedback,5,6.2500000000000022e-10,4.0724207215213533e-05,42,0.43252930219896019,3,5,1,4.0724207215213533e-05,0,ladybug-49,-1,collapse-diagnostic,6.2500000000000022e-10,1,0.39625917231376567
menu_feedback,6,6.250000000000003e-11,4.2844155531981176e-06,38,0.5,3,6,1,4.2844155531981176e-06,0,ladybug-49,-1,collapse-diagnostic,6.250000000000003e-11,1,0.49318905347963166
menu_feedback,7,6.2500000000000035e-12,5.9936211581008255e-07,42,0.5,3,7,1,5.9936211581008255e-07,0,ladybug-49,-1,collapse-diagnostic,6.2500000000000035e-12,1,0.47812249792082617
menu_feedback,8,6.2500000000000037e-13,6.9314045439557543e-08,42,0.5,3,8,1,6.9314045439557543e-08,0,ladybug-49,-1,collapse-diagnostic,6.2500000000000037e-13,1,0.47797042226888575
menu_feedback,9,1.0000000000000006e-11,5.2567869411109738e-07,81,0.5,3,9,1,3.3737424545051629e-06,0,ladybug-49,-1,collapse-diagnostic,1.0000000000000006e-11,1,0.47958186836204941
menu_feedback,10,1.0000000000000006e-12,3.2201178671769372e-08,47,0.5,3,10,1,1.3017452985525025e-07,0,ladybug-49,-1,collapse-diagnostic,1.0000000000000006e-12,1,0.48570736779244422
menu_feedback,11,1.6000000000000009e-11,2.1661127586131673e-07,46,0.5,3,11,1,2.060649599830464e-06,0,ladybug-49,4,collapse-diagnostic,1.6000000000000009e-11,1,0.47555057513426119
menu_feedback,12,2.5600000000000014e-08,2.0710540475277363e-05,12,0.5,3,12,1,0.00015532887903999904,0,ladybug-49,4,collapse-diagnostic,2.5600000000000014e-08,1,0.47267177770238222
